id_specific,extra_key,value_ts,strategy,internal_code,ric,ticker,target_notional,currency,target_contracts,ref_price,advisor_name
CB,S1_nan,2025-09-18 08:50,S1,nan,BO1 Comdty,BO1 Comdty,-276156.0,USD,-9,51.14,Christian BEULEN
CB,S1_nan,2025-09-18 08:50,S1,nan,C 1 Comdty,C 1 Comdty,277387.5,USD,13,426.75,Christian BEULEN
CB,S1_nan,2025-09-18 08:50,S1,nan,CTZ5 Comdty,CTZ5 Comdty,267200.0,USD,8,66.8,Christian BEULEN
CB,S1_nan,2025-09-18 08:50,S1,nan,S X5 Comdty,S X5 Comdty,260125.0,USD,5,1040.5,Christian BEULEN
CB,S1_nan,2025-09-18 08:50,S1,nan,SMZ5 Comdty,SMZ5 Comdty,-282600.0,USD,-10,282.6,Christian BEULEN
CB,S1_nan,2025-09-18 08:50,S1,nan,W Z5 Comdty,W Z5 Comdty,265000.0,USD,10,530.0,Christian BEULEN
CB,S1_nan,2025-09-18 08:50,S1,nan,ESU5 Index,ESU5 Index,1006950.0,USD,3,6713.0,Christian BEULEN
CB,S1_nan,2025-09-18 08:50,S1,nan,NQU5 Index,NQU5 Index,-988480.0,USD,-2,24712.0,Christian BEULEN
CB,S1_nan,2025-09-18 08:50,S1,nan,RTYU5 Index,RTYU5 Index,-1230100.0,USD,-10,2460.2,Christian BEULEN
CB,S1_nan,2025-09-18 08:50,S1,nan,CLV5 Comdty,CLV5 Comdty,446530.0,USD,7,63.79,Christian BEULEN
CB,S1_nan,2025-09-18 08:50,S1,nan,NGV25 Comdty,NGV25 Comdty,-307300.0,USD,-10,3.073,Christian BEULEN
CB,S1_nan,2025-09-18 08:50,S1,nan,AD1 Curncy,AD1 Curncy,-997275.0,USD,-15,0.66485,Christian BEULEN
CB,S1_nan,2025-09-18 08:50,S1,nan,BP1 Curncy,BP1 Curncy,-937956.25,USD,-11,1.3643,Christian BEULEN
CB,S1_nan,2025-09-18 08:50,S1,nan,ECU5 Curncy,ECU5 Curncy,-891675.0,USD,-6,1.1889,Christian BEULEN
CB,S1_nan,2025-09-18 08:50,S1,nan,JYU5 Curncy,JYU5 Curncy,-941118.75,USD,-11,0.0068445,Christian BEULEN
CB,S1_nan,2025-09-18 08:50,S1,nan,GCZ5 Comdty,GCZ5 Comdty,-369690.0,USD,-1,3696.9,Christian BEULEN
CB,S1_nan,2025-09-18 08:50,S1,nan,HGZ5 Comdty,HGZ5 Comdty,461800.0,USD,4,4.618,Christian BEULEN
CB,S1_nan,2025-09-18 08:50,S1,nan,PLV5 Comdty,PLV5 Comdty,488810.0,USD,7,1396.6,Christian BEULEN
CB,S1_nan,2025-09-18 08:50,S1,nan,SIZ5 Comdty,SIZ5 Comdty,-421150.0,USD,-2,42.115,Christian BEULEN
CB,S1_nan,2025-09-18 08:50,S1,nan,OEU5 Comdty,OEU5 Comdty,1952891.45,EUR,14,139.4922464,Christian BEULEN
CB,S1_nan,2025-09-18 08:50,S1,nan,RXU5 Comdty,RXU5 Comdty,1980420.79,EUR,13,152.34006080000003,Christian BEULEN
CB,S1_nan,2025-09-18 08:50,S1,nan,FVZ5 Comdty,FVZ5 Comdty,1316437.5,USD,12,109.703125,Christian BEULEN
CB,S1_nan,2025-09-18 08:50,S1,nan,TYZ5 Comdty,TYZ5 Comdty,1246265.62,USD,11,113.296875,Christian BEULEN
CB,S1_nan,2025-09-18 08:50,S1,nan,USZ5 Comdty,USZ5 Comdty,1294906.25,USD,11,117.71875,Christian BEULEN
