date,symbol,backtest_signal,backtest_score,live_signal,live_quantity,live_side,signals_match,difference
2025-09-16,@AD#C,1,0.0015842495486140251,0,0.0,NO_TRADE,False,1
2025-09-17,@AD#C,-1,-0.0011700242757797241,-1,18.0,SELL,True,0
2025-09-18,@AD#C,-1,-0.0013522038934752345,-1,18.0,SELL,True,0
2025-09-19,@AD#C,-1,-0.0021577938459813595,-1,18.0,SELL,True,0
2025-09-16,@BO#C,1,-0.002516001695767045,0,0.0,NO_TRADE,False,1
2025-09-17,@BO#C,-1,-0.001873036497272551,-1,11.0,SELL,True,0
2025-09-18,@BO#C,-1,-0.0007535518961958587,-1,11.0,SELL,True,0
2025-09-19,@BO#C,1,-4.558174259727821e-05,1,11.0,BUY,True,0
2025-09-16,@BP#C,-1,-0.0004438647592905909,0,0.0,NO_TRADE,False,-1
2025-09-17,@BP#C,-1,-0.0012698235223069787,-1,14.0,SELL,True,0
2025-09-18,@BP#C,1,0.0003137149615213275,1,14.0,BUY,True,0
2025-09-19,@BP#C,1,0.00033759960206225514,1,14.0,BUY,True,0
2025-09-16,@C#C,1,0.0009112667175941169,0,0.0,NO_TRADE,False,1
2025-09-17,@C#C,1,0.003316843183711171,1,16.0,BUY,True,0
2025-09-18,@C#C,-1,-0.003159931628033519,-1,16.0,SELL,True,0
2025-09-19,@C#C,1,0.005512414034456015,1,16.0,BUY,True,0
2025-09-16,@CT#C,1,0.003883989993482828,0,0.0,NO_TRADE,False,1
2025-09-17,@CT#C,1,0.003063554409891367,1,10.0,BUY,True,0
2025-09-18,@CT#C,-1,-0.00949727464467287,-1,10.0,SELL,True,0
2025-09-19,@CT#C,-1,-0.0042749191634356976,-1,10.0,SELL,True,0
2025-09-16,@ES#C,1,0.0005476116202771664,1,9.0,BUY,True,0
2025-09-17,@ES#C,1,0.00035508806467987597,1,10.0,BUY,True,0
2025-09-18,@ES#C,1,0.0012286703567951918,1,9.0,BUY,True,0
2025-09-19,@ES#C,-1,-0.0003280679229646921,-1,9.0,SELL,True,0
2025-09-16,@EU#C,1,0.0009586258674971759,0,0.0,NO_TRADE,False,1
2025-09-17,@EU#C,-1,-0.0006283457623794675,-1,8.0,SELL,True,0
2025-09-18,@EU#C,-1,-0.0012027055490761995,-1,8.0,SELL,True,0
2025-09-19,@EU#C,-1,-7.160495442803949e-05,-1,8.0,SELL,True,0
