date,symbol,signal,raw_score,price,contracts,notional_usd,weight_pct,basket,return_pct,weighted_return_pct
2025-09-01,@AD#C,1,1.6669276874381467e-06,0.65625,19,1246875.0,2.4937500000000004,FX,-0.4876190476190446,-0.012159999999999928
2025-09-01,@BP#C,-1,-0.0045673842541873455,1.3546,-14,1185275.0,2.37055,FX,1.1073379595452624,0.026250000000000218
2025-09-01,@ES#C,-1,-0.0025286905001848936,6539.0,-10,3269500.0,6.539000000000001,EQUITY,0.5352500382321457,0.03500000000000001
2025-09-01,@EU#C,-1,-0.002719317330047488,1.1772,-8,1177200.0,2.3544,FX,0.4757050628610303,0.011200000000000097
2025-09-01,@FV#C,-1,-0.0005912645137868822,109.421875,-36,3939187.5,7.878375,RATESUS,0.07139797229758674,0.005624999999999999
2025-09-01,@JY#C,-1,-0.002001940505579114,0.006864,-14,1201200.0,2.4024,FX,0.6993006993007036,0.016800000000000103
2025-09-01,@NQ#C,-1,-0.001317839720286429,23733.0,-7,3322620.0,6.645239999999999,EQUITY,0.48771752412252983,0.03241
2025-09-01,@RTY#C,-1,-0.0021564001217484474,2389.5,-27,3225825.0,6.451650000000001,EQUITY,0.7616656204226749,0.04913999999999951
2025-09-01,@TY#C,-1,-0.0008020177483558655,112.375,-35,3933125.0,7.86625,RATESUS,0.09733036707452725,0.007656249999999999
2025-09-01,@US#C,1,0.00032033497700467706,113.90625,34,3872812.5,7.745625,RATESUS,-0.2743484224965706,-0.021249999999999998
2025-09-01,BD#C,-1,-0.0005124238668940961,128.21,-30,3846300.0,7.6926,RATESEU,0.27298962639420365,0.021000000000000508
2025-09-01,BL#C,-1,-0.0005595979164354503,117.94,-33,3892020.0,7.78404,RATESEU,0.1271833135492551,0.009899999999999437
2025-09-01,QBZ#C,1,0.02046542428433895,68.2,17,1159400.0,2.3188,Energy,1.2903225806451546,0.029919999999999846
2025-09-01,QCL#C,1,-0.0016931102145463228,64.74,18,1165320.0,2.3306400000000003,Energy,1.266604881062724,0.02952000000000027
2025-09-01,QGC#C,-1,-0.0030686925165355206,3544.7,-3,1063409.9999999998,2.1268199999999995,METALS,-1.3682399074674867,-0.029099999999999994
2025-09-01,QHG#C,-1,-0.0006477947463281453,4.5755,-10,1143875.0,2.28775,METALS,-1.234837722653257,-0.028249999999999886
2025-09-01,QNG#C,1,0.004566316492855549,2.935,10,293500.0,0.587,Energy,2.146507666098813,0.012600000000000031
2025-09-01,QPL#C,1,0.001841487712226808,1436.5,17,1221025.0,2.44205,METALS,-1.6985729202923836,-0.041480000000000156
2025-09-01,QRB#C,-1,-0.7327489256858826,1.9877,-13,1085284.2,2.1705684,Energy,-2.701614931830752,-0.05864039999999984
2025-09-01,QSI#C,-1,-0.0012735265772789717,41.57,-6,1247100.0,2.4941999999999998,METALS,-0.16839066634592323,-0.004200000000000017
2025-09-02,@AD#C,1,0.002472775988280773,0.65245,19,1239655.0,2.47931,FX,0.5517664188826803,0.01368000000000018
2025-09-02,@BO#C,-1,-0.004568720702081919,52.06,-11,343596.00000000006,0.6871920000000001,AGS,1.363810987322322,0.009372000000000012
2025-09-02,@BP#C,-1,-0.0009739672532305121,1.3394,-14,1171975.0,2.34395,FX,-0.4479617739286252,-0.01050000000000001
2025-09-02,@C#C,-1,-0.010404313914477825,417.75,-17,355087.5,0.710175,AGS,-0.0,-0.0
2025-09-02,@CT#C,1,0.00273468648083508,65.96,10,329799.99999999994,0.6595999999999999,AGS,0.7277137659187447,0.004800000000000039
2025-09-02,@ES#C,1,-3.0641196644864976e-05,6431.25,10,3215625.0,6.4312499999999995,EQUITY,1.0184645286686103,0.06549999999999999
2025-09-02,@EU#C,1,0.0008489132160320878,1.1724,8,1172400.0,2.3448,FX,0.1919140225179003,0.0044999999999997264
2025-09-02,@FV#C,-1,-0.0014273729175329208,109.265625,-36,3933562.5,7.867125,RATESUS,-0.2431002431002431,-0.019125
2025-09-02,@JY#C,1,-0.0003947157529182732,0.0068195,14,1193412.5,2.386825,FX,0.18329789574016217,0.004375000000000126
2025-09-02,@KW#C,1,0.006414790637791157,508.25,0,0.0,0.0,AGS,0.24594195769798327,0.0
2025-09-02,@NQ#C,1,0.0011927528539672494,23285.75,7,3260005.0,6.52001,EQUITY,1.5578196965955573,0.10157
2025-09-02,@RTY#C,1,0.00210550706833601,2353.0,28,3294200.0,6.5884,EQUITY,0.6459838504037322,0.04255999999999949
2025-09-02,@S#C,-1,-0.007954348810017109,1038.5,-6,311550.0,0.6231,AGS,0.6499759268175253,0.00405
2025-09-02,@SM#C,-1,-0.015113051049411297,278.5,-12,334200.0,0.6684,AGS,0.14362657091561123,0.0009599999999999455
2025-09-02,@TY#C,-1,-0.002400795929133892,112.15625,-35,3925468.75,7.850937500000001,RATESUS,-0.4179437169127891,-0.0328125
2025-09-02,@US#C,-1,-0.0028999680653214455,113.46875,-34,3857937.5,7.715875,RATESUS,-0.9914624070503993,-0.0765
2025-09-02,@W#C,-1,-0.00030273079755716026,524.0,-13,340600.0,0.6812,AGS,0.6679389312977099,0.00455
2025-09-02,BD#C,-1,-0.002625378081575036,127.82,-30,3834600.0,7.6692,RATESEU,-0.3755280863714741,-0.028800000000001092
2025-09-02,BL#C,-1,-0.0013237569946795702,117.77,-33,3886410.0,7.772819999999999,RATESEU,-0.16133140867792964,-0.01253999999999985
2025-09-02,QBZ#C,1,0.006821074988692999,68.97,17,1172490.0,2.34498,Energy,-1.899376540524869,-0.04454000000000007
2025-09-02,QCL#C,1,-0.00083641690434888,65.42,18,1177560.0,2.3551200000000003,Energy,-2.170590033628862,-0.05112000000000007
2025-09-02,QGC#C,1,0.0014165762113407254,3586.1,3,1075830.0,2.15166,METALS,1.3859066952957328,0.029820000000000166
2025-09-02,QHG#C,-1,-0.0017209494253620505,4.6135,-10,1153375.0000000002,2.3067500000000005,METALS,-0.3576460387991706,-0.00824999999999987
2025-09-02,QNG#C,1,0.005966694559901953,2.971,10,297100.0,0.5942000000000001,Energy,2.4234264557388108,0.014400000000000013
2025-09-02,QPL#C,1,0.002673888113349676,1411.9,17,1200115.0000000002,2.4002300000000005,METALS,2.9180536865216955,0.0700399999999997
2025-09-02,QRB#C,1,0.013650256209075451,2.0309,13,1108871.4,2.2177428,Energy,-0.7632084297601973,-0.016925999999999834
2025-09-02,QSI#C,1,0.0004745683690998703,41.665,6,1249950.0,2.4999000000000002,METALS,0.9000360014400577,0.022500000000000006
2025-09-03,@AD#C,1,-0.0002609664516057819,0.65585,19,1246115.0,2.49223,FX,-0.5946481665014888,-0.014820000000000054
2025-09-03,@BO#C,-1,-0.004426851402968168,51.7,-11,341220.0,0.68244,AGS,0.6576402321083238,0.004488000000000045
2025-09-03,@BP#C,1,4.9041562306229025e-05,1.3451,14,1176962.5,2.3539250000000003,FX,-0.1932941788714546,-0.004549999999999888
2025-09-03,@C#C,-1,-0.002121336292475462,416.75,-17,354237.5,0.708475,AGS,-0.6598680263947211,-0.004675
2025-09-03,@CT#C,1,0.00048370083095505834,66.25,10,331250.0,0.6625,AGS,-0.2566037735849082,-0.0017000000000000168
2025-09-03,@ES#C,1,0.0023760907351970673,6502.5,10,3251250.0,6.5024999999999995,EQUITY,0.5420991926182238,0.035250000000000004
2025-09-03,@EU#C,1,-6.339688115986064e-05,1.1746,8,1174600.0,2.3491999999999997,FX,-0.32351438787672615,-0.00760000000000005
2025-09-03,@FV#C,-1,-0.0003443098976276815,109.5,-36,3942000.0,7.8839999999999995,RATESUS,-0.14269406392694062,-0.011249999999999998
2025-09-03,@JY#C,-1,-0.0006969886599108577,0.0068305,-14,1195337.4999999998,2.3906749999999994,FX,0.4611668252690054,0.011024999999999792
2025-09-03,@KW#C,-1,0.0017055803909897804,508.5,0,0.0,0.0,AGS,0.4916420845624385,0.0
2025-09-03,@NQ#C,1,0.006479365285485983,23653.25,7,3311455.0,6.62291,EQUITY,0.5189561688140107,0.03437
2025-09-03,@RTY#C,1,0.008270366117358208,2368.7,28,3316179.9999999995,6.632359999999999,EQUITY,0.5488242495883818,0.0364
2025-09-03,@S#C,1,0.005467519164085388,1033.25,6,309975.0,0.61995,AGS,-0.16936849745947255,-0.0010500000000000002
2025-09-03,@SM#C,1,0.020861146971583366,277.9,12,333480.0,0.66696,AGS,0.9355883411299112,0.006240000000000056
