date,symbol,backtest_signal,backtest_score,live_signal,live_quantity,live_side,signals_match,difference
2025-09-17,@AD#C,-1,-0.0011700242757797241,-1,18.0,SELL,True,0
2025-09-18,@AD#C,-1,-0.0013522038934752345,-1,18.0,SELL,True,0
2025-09-19,@AD#C,-1,-0.0021577938459813595,-1,18.0,SELL,True,0
2025-09-22,@AD#C,1,0.0027890820056200027,1,18.0,BUY,True,0
2025-09-23,@AD#C,-1,-0.001071997219696641,-1,18.0,SELL,True,0
2025-09-24,@AD#C,1,0.0014407613780349493,1,18.0,BUY,True,0
2025-09-25,@AD#C,-1,-0.0005391801823861897,-1,19.0,SELL,True,0
2025-09-26,@AD#C,1,0.0008603808237239718,1,19.0,BUY,True,0
2025-09-29,@AD#C,1,0.0018007047474384308,1,18.0,BUY,True,0
2025-09-30,@AD#C,1,0.0017928080633282661,1,18.0,BUY,True,0
2025-09-17,@BO#C,-1,-0.001873036497272551,-1,11.0,SELL,True,0
2025-09-18,@BO#C,-1,-0.0007535518961958587,-1,11.0,SELL,True,0
2025-09-19,@BO#C,1,-4.558174259727821e-05,1,11.0,BUY,True,0
2025-09-22,@BO#C,-1,-0.03682943433523178,-1,11.0,SELL,True,0
2025-09-23,@BO#C,1,-4.9528036470292136e-05,1,11.0,BUY,True,0
2025-09-24,@BO#C,-1,0.006150182336568832,-1,11.0,SELL,True,0
2025-09-25,@BO#C,1,-0.005787197966128588,1,11.0,BUY,True,0
2025-09-26,@BO#C,1,-0.0005307084647938609,1,11.0,BUY,True,0
2025-09-29,@BO#C,-1,-0.059002213180065155,-1,11.0,SELL,True,0
2025-09-30,@BO#C,-1,-0.07497590035200119,-1,12.0,SELL,True,0
2025-09-17,@BP#C,-1,-0.0012698235223069787,-1,14.0,SELL,True,0
2025-09-18,@BP#C,1,0.0003137149615213275,1,14.0,BUY,True,0
2025-09-19,@BP#C,1,0.00033759960206225514,1,14.0,BUY,True,0
2025-09-22,@BP#C,-1,-0.000586007721722126,-1,14.0,SELL,True,0
2025-09-23,@BP#C,-1,-0.0016106143593788147,-1,14.0,SELL,True,0
2025-09-24,@BP#C,1,0.0011949113104492426,1,14.0,BUY,True,0
2025-09-25,@BP#C,-1,1.0716496490204008e-06,-1,14.0,SELL,True,0
2025-09-26,@BP#C,1,-9.436676918994635e-05,1,14.0,BUY,True,0
2025-09-29,@BP#C,1,-0.00013846257934346795,1,14.0,BUY,True,0
2025-09-30,@BP#C,1,0.0008385241962969303,1,14.0,BUY,True,0
