date,signal_direction,signal,prediction,target_return,pnl,cumulative_pnl,period,abs_return,hit
2017-02-13 12:00:00,1,1.0,1.0,-0.003690976199567265,-0.003690976199567265,-0.003690976199567265,training,0.003690976199567265,False
2017-02-14 12:00:00,-1,-1.0,-1.0,0.0012774655084312723,-0.0012774655084312723,-0.004968441707998537,training,0.0012774655084312723,False
2017-02-15 12:00:00,1,1.0,1.0,0.003067484662576687,0.003067484662576687,-0.0019009570454218499,training,0.003067484662576687,True
2017-02-16 12:00:00,-1,-1.0,-1.0,-0.002676523069079786,0.002676523069079786,0.000775566023657936,training,0.002676523069079786,True
2017-02-17 12:00:00,-1,-1.0,-1.0,0.0003812428516965307,-0.0003812428516965307,0.00039432317196140526,training,0.0003812428516965307,False
2017-02-20 12:00:00,-1,-1.0,-1.0,0.0003813397737384009,-0.0003813397737384009,1.298339822300437e-05,training,0.0003813397737384009,False
2017-02-21 12:00:00,-1,-1.0,-1.0,0.0010167768174885613,-0.0010167768174885613,-0.001003793419265557,training,0.0010167768174885613,False
2017-02-22 12:00:00,-1,-1.0,-1.0,-0.0035623409669211198,0.0035623409669211198,0.002558547547655563,training,0.0035623409669211198,True
2017-02-23 12:00:00,1,1.0,1.0,0.0038032454361054766,0.0038032454361054766,0.0063617929837610394,training,0.0038032454361054766,True
2017-02-24 12:00:00,-1,-1.0,-1.0,0.002651180406514329,-0.002651180406514329,0.0037106125772467104,training,0.002651180406514329,False
2017-02-27 12:00:00,1,1.0,1.0,-0.0015166835187057635,-0.0015166835187057635,0.002193929058540947,training,0.0015166835187057635,False
2017-02-28 12:00:00,-1,-1.0,-1.0,0.0072161033042157235,-0.0072161033042157235,-0.0050221742456747764,training,0.0072161033042157235,False
2017-03-01 12:00:00,-1,-1.0,-1.0,0.0028054067839836778,-0.0028054067839836778,-0.007827581029658455,training,0.0028054067839836778,False
2017-03-02 12:00:00,-1,-1.0,-1.0,0.0001278772378516624,-0.0001278772378516624,-0.007955458267510117,training,0.0001278772378516624,False
2017-03-03 12:00:00,1,1.0,1.0,0.0017918853193395622,0.0017918853193395622,-0.006163572948170555,training,0.0017918853193395622,True
2017-03-06 12:00:00,-1,-1.0,-1.0,0.0006387327542156362,-0.0006387327542156362,-0.0068023057023861916,training,0.0006387327542156362,False
2017-03-07 12:00:00,-1,-1.0,-1.0,0.003963180772181028,-0.003963180772181028,-0.01076548647456722,training,0.003963180772181028,False
2017-03-08 12:00:00,-1,-1.0,-1.0,0.0006415191172696946,-0.0006415191172696946,-0.011407005591836914,training,0.0006415191172696946,False
2017-03-09 12:00:00,1,1.0,1.0,0.0007704160246533128,0.0007704160246533128,-0.0106365895671836,training,0.0007704160246533128,True
