date,signal_direction,signal,prediction,target_return,pnl,cumulative_pnl,period,abs_return,hit
2016-08-02 12:00:00,1,1.0,1.0,0.003431185665268776,0.003431185665268776,0.003431185665268776,training,0.003431185665268776,True
2016-08-03 12:00:00,1,1.0,1.0,0.0020902612826603326,0.0020902612826603326,0.005521446947929109,training,0.0020902612826603326,True
2016-08-04 12:00:00,-1,-1.0,-1.0,-0.005589767882520132,0.005589767882520132,0.011111214830449242,training,0.005589767882520132,True
2016-08-05 12:00:00,-1,-1.0,-1.0,-9.424182452172274e-05,9.424182452172274e-05,0.011205456654970965,training,9.424182452172274e-05,True
2016-08-08 12:00:00,1,1.0,1.0,0.0005652911249293386,0.0005652911249293386,0.011770747779900304,training,0.0005652911249293386,True
2016-08-09 12:00:00,1,1.0,1.0,-0.0029151777318036486,-0.0029151777318036486,0.008855570048096655,training,0.0029151777318036486,False
2016-08-10 12:00:00,1,1.0,1.0,0.004532577903682719,0.004532577903682719,0.013388147951779374,training,0.004532577903682719,True
2016-08-11 12:00:00,-1,-1.0,-1.0,0.0017857142857142857,-0.0017857142857142857,0.011602433666065087,training,0.0017857142857142857,False
2016-08-12 12:00:00,1,1.0,1.0,0.003386960203217612,0.003386960203217612,0.0149893938692827,training,0.003386960203217612,True
2016-08-15 12:00:00,-1,-1.0,-1.0,0.003000750187546887,-0.003000750187546887,0.011988643681735814,training,0.003000750187546887,False
2016-08-16 12:00:00,-1,-1.0,-1.0,0.0026345502446368085,-0.0026345502446368085,0.009354093437099005,training,0.0026345502446368085,False
2016-08-17 12:00:00,-1,-1.0,-1.0,-0.004918653045781309,0.004918653045781309,0.014272746482880315,training,0.004918653045781309,True
2016-08-18 12:00:00,1,1.0,1.0,-0.0017868898711558357,-0.0017868898711558357,0.01248585661172448,training,0.0017868898711558357,False
2016-08-19 12:00:00,1,1.0,1.0,-0.00018816445573431178,-0.00018816445573431178,0.012297692155990168,training,0.00018816445573431178,False
2016-08-22 12:00:00,1,1.0,1.0,0.0035795026375282594,0.0035795026375282594,0.01587719479351843,training,0.0035795026375282594,True
2016-08-23 12:00:00,-1,-1.0,-1.0,0.0020637898686679174,-0.0020637898686679174,0.013813404924850512,training,0.0020637898686679174,False
2016-08-24 12:00:00,-1,-1.0,-1.0,0.0019760986167309683,-0.0019760986167309683,0.011837306308119543,training,0.0019760986167309683,False
2016-08-25 12:00:00,1,1.0,1.0,-0.0030168756481568776,-0.0030168756481568776,0.008820430659962665,training,0.0030168756481568776,False
2016-08-26 12:00:00,-1,-1.0,-1.0,-0.0037767916155226136,0.0037767916155226136,0.012597222275485279,training,0.0037767916155226136,True
2016-08-29 12:00:00,1,1.0,1.0,-0.002446137924546053,-0.002446137924546053,0.010151084350939225,training,0.002446137924546053,False
2016-08-30 12:00:00,-1,-1.0,-1.0,0.004714757190004715,-0.004714757190004715,0.00543632716093451,training,0.004714757190004715,False
2016-08-31 12:00:00,-1,-1.0,-1.0,9.46163307786924e-05,-9.46163307786924e-05,0.005341710830155818,training,9.46163307786924e-05,False
2016-09-01 12:00:00,1,1.0,1.0,0.006069802731411229,0.006069802731411229,0.011411513561567048,training,0.006069802731411229,True
2016-09-02 12:00:00,1,1.0,1.0,0.00018832391713747646,0.00018832391713747646,0.011599837478704524,training,0.00018832391713747646,True
2016-09-05 12:00:00,-1,-1.0,-1.0,-0.003014318010550113,0.003014318010550113,0.014614155489254637,training,0.003014318010550113,True
2016-09-06 12:00:00,1,1.0,1.0,-0.0006583897667419112,-0.0006583897667419112,0.013955765722512725,training,0.0006583897667419112,False
2016-09-07 12:00:00,-1,-1.0,-1.0,0.00047023417661995676,-0.00047023417661995676,0.013485531545892769,training,0.00047023417661995676,False
2016-09-08 12:00:00,-1,-1.0,-1.0,0.012601090840699642,-0.012601090840699642,0.0008844407051931263,training,0.012601090840699642,False
2016-09-09 12:00:00,-1,-1.0,-1.0,0.002379139703083365,-0.002379139703083365,-0.0014946989978902388,training,0.002379139703083365,False
2016-09-12 12:00:00,-1,-1.0,-1.0,0.006308545211240681,-0.006308545211240681,-0.00780324420913092,training,0.006308545211240681,False
